polarity,subjectivity
-0.5,1
0,0.5
-0.171875,0.6
0,0
0.25,1
0.03923611111,0.6222222222
0,0.5
-1,1
-0.59375,0.75
0.01904761905,0.2333333333
0,0
0,0.5
0,0.5
0.45,0.65
0.35,0.65
-0.3229166667,0.6604166667
0,0.5
0,0.5
0,0.5
0,0
0,0.5
0,0
-0.05,0.2
0,0
0,0
0,0
0.28,0.74
0.45,0.3916666667
0,0
0,0
0.4666666667,0.7777777778
0,0
0,0.5
0,0
0,0.5
0,0
0.0961038961,0.663997114
0,0
0,0
-0.5,1
0,0
0,0.5
0.06515151515,0.415530303
0.5,0.5
0,0.5
-0.1566666667,0.39
0,0.5
0.6,1
-0.4,0.6285714286
-0.2083333333,0.4583333333
0,0.1
0,0.5
0,0.5
0,0.5
0,0.5
0,0.5
-0.4,0.6285714286
0,0.5
0,0
-0.13,0.68
0,0
0,0.5
0,0.5
0,0.5
0,0
0,0
-0.125,0.375
0.4166666667,0.4166666667
0,0
0.01904761905,0.2333333333
0,0.5
-0.6,1
0,0
0.1363636364,0.5
-0.2083333333,0.4583333333
0,0
0,0
0,0.3256410256
-0.35,0.9
-0.4,0.6285714286
-0.1666666667,0.5555555556
0,0.1
-0.2375,0.3375
0.1363636364,0.4545454545
0,0
-0.3,0.72
0.01904761905,0.2333333333
0,0.8333333333
0,0.5
0.1125,0.5708333333
0.3,0.6416666667
0,0.5
0.1,0.2
0,0.5
0,0.5
0,0.5
0,0.5
0,0
0.01904761905,0.2333333333
0,0.5
0,0
-0.2,0
0,0.1
0.3666666667,0.4
0,0.5
-0.06666666667,0.3333333333
0,0
0,0
0.1214285714,0.3904761905
0.45,0.5
0.01904761905,0.2333333333
0,0
0,0.5
0.5083333333,0.7
0,0.5
0,0
0,0.5
0,0
-0.5,1
0,0.5
0.35,0.65
0,0.5
0.3666666667,0.3
0,0.5
1,0.3
-0.4555555556,0.5555555556
0,0
0,0.125
0,0.5
0,0
-0.4,0.6285714286
0,0.5
0.175,0.315
0,0
0,0
0,0.5
0,0
0,0.5
0,0
0,0.5
0,0.5
0,1
0.17,0.78
0,0
0,0.5
0.1666666667,0.5833333333
-0.2625,0.55
0,0
0,0.5
0,0
0,0.5
0,0
0,0
0.1,0.3
0,0.5
0,0
0,0.5
0,0
0,0.5
0.01904761905,0.2333333333
0.1727272727,0.3558501684
0,0.5
-0.4,0.6285714286
-0.2375,0.3375
0,0
-0.04166666667,0.625
0,0
0,0.5
0,0.5
0,0.5
0.175,0.775
0,0.5
0,0.5
0.5083333333,0.7
0,0
0,0.5
0,0
-0.1875,0.5
0.075,0.35
0,0.5
0,0
0.6,0.8
0,0
-0.1777777778,0.3777777778
0,0
0.35,0.3
0.01904761905,0.2333333333
-0.8,0.9
0,0.5
0,0.5
0,0.5
0,0
0,0
0,0.5
0,0
0,0.5
0.15,0.4
-0.07916666667,0.525
0,0.5
0.5,0.5
0.1363636364,0.4545454545
0,0
0,0.5
0,0.5
0.1,1
0,0
0,0.1
0,0.08333333333
0,0
0.5,1
0,0.5
0.3,0.2
0,0
0,0
0,0.5
-0.2083333333,0.4583333333
0,0
0.8,0.75
0,0
-0.1,0.2
0,0.5
0,0
0,0.5
-0.4,0.6285714286
0.01904761905,0.2333333333
-0.4,0.4
0,0
0.575,0.575
0,0
0,0.5
0.5,0.6
0,0.5
-0.7,0.6666666667
0,0.5
0,0.5
0.01904761905,0.2333333333
0,0.5
0.16,0.54
0.2,0.2
0.125,0.125
0,0
-0.2,0.3
-0.2083333333,0.4583333333
0,0
0.1363636364,0.4545454545
0,0.5
0.375,0.4875
0.15625,0.55
-0.4,0.6285714286
0.1,0.3
-0.3571428571,0.7678571429
0,0.5
0,0.5
0.01904761905,0.2333333333
0.575,0.575
0,0
0.1,0.2
0,0.5
0.5083333333,0.7
0,0.5
0.5,0.5
0.375,0.7
0.5,0.55
0.1,0.2
0.01904761905,0.2333333333
0,0.5
0.5,0.6
0,0.5
-0.025,0.425
0,0.5
0,0
-0.07,0.71
0,0
0.5083333333,0.7
0.2083333333,0.6916666667
0,0
-0.4,0.6285714286
-0.2083333333,0.4583333333
0,0.5
0,0.5
0,0.5
0.1,0.15
0,0
-0.4,0.6
0.5,0.8333333333
0.01904761905,0.2333333333
0,0
0.1,0.3
0,0
0.35,0.6
0,0
0,0.5
-0.1666666667,0.5555555556
0,0.5
0,0.5
0,0.5
0,0
0.1,0.2785714286
