author,polarity
QueenCodaYT,-0.5
LilDre888,0
darkpriestess02,-0.171875
PrancingPapio,0
faeisgaee,0.25
Metro_Fella,0.03923611111
BabyjokerTTV,0
DForsterSensFan,-1
JO55550908,-0.59375
SatiricalMuse,0.01904761905
THE_OG_G_MA,0
famousboy6,0
Thrilla_dondada,0
wweisawesome123,0.45
_Luna_M__,0.35
DrMLynne,-0.3229166667
YallFavDarkSkin,0
BwireFredrick,0
otf_von601,0
_Luna_M__,0
Kamalu_Samuel,0
LiaSefume,0
hobbyistvacay,-0.05
wonystyj,0
SakuraUchihaHq,0
fionaapplewatch,0
wweisawesome123,0.28
gershomxg,0.45
denese_rowley,0
chifuyor,0
StopVirtuaStalk,0.4666666667
LudmilaYazmin18,0
amissah_kwaku,0
QRob31B,0
mialauren404,0
ANiMalANP,0
K3tt131,0.0961038961
yoosjiman,0
benfri04,0
MargyMayell,-0.5
Adriana11100542,0
Lhowardss,0
SpringerPsych,0.06515151515
DarrenBurchill,0.5
blackandmilez,0
StarfighterInt1,-0.1566666667
ibrohussain,0
staypIer,0.6
Zanica_Xaba,-0.4
YunielAlfo96724,-0.2083333333
MountweisInfo,0
_sean__turner_,0
AntonioL2007,0
Bjkeagle253,0
oladipupo01,0
SealeyShevon,0
ctrlbonnie,-0.4
LeoEbuka1,0
Oyeeeee112,0
Ms_Joyceey,-0.13
PStandall,0
Young_freckle,0
mrmoralez88,0
ebay_kokeh,0
karenpe15265271,0
Carmeldip,0
BoredAdventurer,-0.125
RashadDHawkins,0.4166666667
markstretch,0
SatiricalMuse,0.01904761905
MD_KD5,0
kamcicle,-0.6
foerster_edgar,0
donnymac26,0.1363636364
YunielAlfo96724,-0.2083333333
charmhaechan,0
veronrose4,0
JASmius,0
1985gooner,-0.35
beaut1fulh0ney,-0.4
TerazziJr,-0.1666666667
SaxonSFW,0
jazz_daz,-0.2375
Nevaehelise_,0.1363636364
futuremaddiezzz,0
benjiwithers,-0.3
SatiricalMuse,0.01904761905
BobGillian,0
wingswilly,0
BlueFieldAbove,0.1125
FortonSusan,0.3
ProducedbyLando,0
Agus_avila04,0.1
imdagre4,0
tuctofrank_,0
percy_vernon,0
IamTcbeatz,0
JoPaMa2021,0
SatiricalMuse,0.01904761905
Rafiki_simonA,0
LincsLimpet,0
JudithSherry1,-0.2
CloudsFormTv,0
2xDutch31,0.3666666667
docholiday1192,0
Michael27720491,-0.06666666667
TriggeredTracyy,0
KyngCassius,0
ihaveCIC,0.1214285714
dniallcalories,0.45
SatiricalMuse,0.01904761905
uzni998,0
Just_Torren,0
Mirrorwasfound,0.5083333333
Bangtan_Tori1,0
squishy_maribug,0
SGodzuki,0
Jasmine37846121,0
Revolution354,-0.5
ThatBusyGuy1,0
sine_tetris,0.35
warGilly,0
JohnWick420cal,0.3666666667
darkxraiden,0
f0ursc0rez,1
Jelwoodv,-0.4555555556
Penelope090700,0
TOOOLDFORWHAT,0
God8Complex,0
chombogous,0
hands_witheyes,-0.4
LowEnd281,0
mysterys_girl,0.175
kentinkabrewu10,0
Marilena5811,0
obande101,0
Laurilau98,0
KINKHATER01,0
misclickdou,0
NdumisoNzoyi,0
xox_wess,0
tonymess14,0
LILTOFFDEB,0.17
mariamemeo,0
Luh_ardagoon,0
MarksGonePublic,0.1666666667
thenikkieminnie,-0.2625
Andrea66264377,0
_Don_Garcia,0
escusate_,0
Brainiac_13,0
JURlNGF,0
Quiquee78,0
VideoGameGoblin,0.1
joey_buttface,0
Kybie0818,0
Jwilson_34,0
mylove__20,0
johnny_pesina,0
SatiricalMuse,0.01904761905
LanceMannion4,0.1727272727
fackyumadafakar,0
FalconTheCpt,-0.4
AlCaponeElGreco,-0.2375
IvoTONIUT,0
slaykay107,-0.04166666667
MariaTe33399873,0
November_guyRaj,0
lightinwolf,0
bxrkzz,0
nosaferefuge,0.175
OrangeJuiceMan4,0
bobnap20,0
AutumnWrmtongue,0.5083333333
meandmyopinions,0
XtrodiMasuku,0
MeriMar22,0
N1c02911,-0.1875
akaDottiedanger,0.075
azceputa,0
CharlesJohnDaw2,0
azula_lies,0.6
DrDaliaTsimpida,0
xXcutethuluXx,-0.1777777778
IvoTONIUT,0
dobbie1986,0.35
SatiricalMuse,0.01904761905
xPISSANA,-0.8
Bizzy_millonz,0
ForinaK,0
bree_kitty,0
DavidMo41091461,0
desertCEO72,0
Yvette8872,0
Debajit09977902,0
BrokerthisINC,0
FinesseP_,0.15
Prrockk123,-0.07916666667
unruly_kash,0
subtly_sane,0.5
iQuackbur,0.1363636364
nbcchicago,0
GloryBboyz300,0
erccs72,0
jsbuelping,0.1
monisweeteyes,0
rexgold,0
Sure_Love96,0
byeolbangul,0
alexis_pennell,0.5
315Riz,0
Eeettt1890,0.3
ofeddd,0
TimikaSChambers,0
axelgovbr,0
YunielAlfo96724,-0.2083333333
cnnr333,0
0l1n3d,0.8
ruthtilleygyado,0
lvsel12,-0.1
Matilo1020,0
MattNeedham10,0
CertifiedKingpi,0
himanidewitt,-0.4
SatiricalMuse,0.01904761905
BenreyForgot,-0.4
jessicaseaman,0
Khomoney_Stan,0.575
Lorraineninorc,0
HIGHSTAR27,0
marsalta_,0.5
CarlosM97329823,0
jimankyu,-0.7
itzkyle13,0
Stevic_Srb,0
SatiricalMuse,0.01904761905
bboybrivnnnn,0
gecxcx,0.16
LancashireYPS,0.2
Tabs20985081,0.125
research_jpg,0
AnaIsabelLucas6,-0.2
YunielAlfo96724,-0.2083333333
michaelxtears,0
F_Delahunty,0.1363636364
Inshallah_5ive,0
NYPD45Pct,0.375
spoilmeA,0.15625
jtunit0011,-0.4
Zer0P0intOne,0.1
DrHelliwell,-0.3571428571
Elvislodoi23,0
MagicalTacoCat,0
SatiricalMuse,0.01904761905
emy_sharcia,0.575
chicagomediaX,0
NixJPayne,0.1
_DNeal1,0
Notunbreakable_,0.5083333333
kokoWYNN93,0
JeffTrendle,0.5
clairebnschtn,0.375
Daniel_Bevis,0.5
_3C273,0.1
SatiricalMuse,0.01904761905
URBAN_BHINCA,0
filllury,0.5
_Ayo_V,0
elliemayhem,-0.025
jkZ3r0,0
HunterYoki,0
PhantomIsTaken,-0.07
zeejade88,0
notwitch2,0.5083333333
lena_gvf,0.2083333333
NigelCo14798581,0
thatchoclitgyal,-0.4
YunielAlfo96724,-0.2083333333
dehoyosjr_23,0
Tsepo89695487,0
A1__RT,0
Chief_Dotz,0.1
VeeHoler,0
sharonsstacey,-0.4
psychspo,0.5
SatiricalMuse,0.01904761905
PeskyPiglet,0
L_D_8,0.1
Haks_4lifer,0
buckl3ydiazfam,0.35
Urbanslove,0
iam_confidentia,0
eryowmar,-0.1666666667
DaJunglePodcast,0
I_Righteouz,0
aleaphillipss,0
CaroniaVeerustm,0
terminatorghey,0.1
roossiiiee,-0.4
darren_lamar7,-0.65
endlessnightvx,0.4
Fox_Ninja03,0.225
RyanTheSoapking,0.4166666667
SimonOak3,-0.06875
Seven3timess,0
Papis795,0.6
